Date,Price,Open,High,Low,Volume,ChangeP,Returns,Return_lag1,Return_lag2,Return_lag3,Return_lag5,Return_roll_mean5,Return_roll_std5,Return_roll_mean10,Return_roll_std10,RSI,MACD,MACD_signal,MACD_hist,DayOfWeek,Month,Quarter,Direction,Regime
2020-01-22,143.89,148.51,148.51,140.72,19240000.0,-3.37,-3.371163790208858,-0.1475222959833694,-0.7454242928452609,0.1933849026406988,-0.3169362826015119,-0.9479465127795222,1.4083785670792506,-0.26455676666493655,1.767699497617217,62.2271814516297,0.19103709502226707,0.6898042034318882,-0.49876710840962113,2,1,1,0,1.0
2020-01-23,143.05,145.51,146.0,142.5,3540000.0,-0.58,-0.5837792758356904,-3.371163790208858,-0.1475222959833694,-0.7454242928452609,-0.6690070875008219,-0.930900950446496,1.4131063804916688,-0.36348619465402027,1.7536593530896187,60.14453262172397,-0.2866278896047447,0.49451778482456166,-0.7811456744293064,3,1,1,0,0.0
2020-01-24,143.71,143.06,144.75,141.05,2110000.0,0.46,0.4613771408598368,-0.5837792758356904,-3.371163790208858,-0.1475222959833694,0.1933849026406988,-0.8773025028026684,1.4703345033083053,-0.697666197315479,1.047772417363603,61.24213513644017,-0.6049508503284358,0.27462405779396215,-0.8795749081223979,4,1,1,1,0.0
2020-01-27,140.85,142.2,143.9,140.2,1610000.0,-1.99,-1.9901189896319071,0.4613771408598368,-0.5837792758356904,-3.371163790208858,-0.7454242928452609,-1.1262414421599978,1.54585331612763,-0.8227529292985766,1.1251015416374297,54.26775202852699,-1.0756033027435308,0.0045785856864635766,-1.0801818884299943,0,1,1,0,0.0
2020-01-28,140.07,141.5,141.5,138.75,1200000.0,-0.55,-0.5537806176783822,-1.9901189896319071,0.4613771408598368,-0.5837792758356904,-0.1475222959833694,-1.2074931064990002,1.4912629683941843,-0.7722970588785267,1.1246761765259443,52.51135789384944,-1.49431273637083,-0.29519967872499514,-1.1991130576458349,1,1,1,0,0.0
2020-01-29,140.92,139.31,142.79,139.31,2120000.0,0.61,0.606839437424141,-0.5537806176783822,-1.9901189896319071,0.4613771408598368,-3.371163790208858,-0.41189246097240045,1.0417402243597915,-0.6799194868759614,1.2015451348241681,54.249113376983246,-1.7375259651515194,-0.5836649360103,-1.1538610291412192,2,1,1,1,0.0
2020-01-30,139.93,140.15,140.85,139.05,2110000.0,-0.7,-0.7025262560317774,0.606839437424141,-0.5537806176783822,-1.9901189896319071,-0.5837792758356904,-0.4356418570116178,1.0479734654134123,-0.6832714037290569,1.2015580640365933,51.86842302232438,-1.987251133396768,-0.8643821754875936,-1.1228689579091744,3,1,1,0,0.0
2020-01-31,137.98,139.5,141.2,137.71,1850000.0,-1.39,-1.3935539198170634,-0.7025262560317774,0.606839437424141,-0.5537806176783822,0.4613771408598368,-0.8066280691469977,0.976958561863741,-0.8419652859748332,1.1774649568648354,47.451272198567764,-2.315813574233971,-1.1546684552368691,-1.1611451189971018,4,1,1,0,0.0
2020-02-03,132.16,137.25,137.5,131.0,2920000.0,-4.22,-4.218002609073774,-1.3935539198170634,-0.7025262560317774,0.606839437424141,-1.9901189896319071,-1.2522047930353712,1.8070642306535762,-1.1892231175976844,1.5867591481861159,37.25397900256774,-3.011116756380062,-1.5259581154655077,-1.4851586409145543,0,2,1,0,0.0
2020-02-04,132.95,132.99,133.79,131.6,1670000.0,0.6,0.5977602905568947,-4.218002609073774,-1.3935539198170634,-0.7025262560317774,-0.5537806176783822,-1.021896611388316,1.9831344964443276,-1.114694858943658,1.6570678868631772,39.1650592565103,-3.458535297874846,-1.9124735519473754,-1.5460617459274706,1,2,1,1,0.0
2020-02-06,130.84,134.15,134.5,130.12,2500000.0,-1.59,-1.5870628055659912,0.5977602905568947,-4.218002609073774,-1.3935539198170634,0.606839437424141,-1.4606770599863423,1.763184620504233,-0.9362847604793714,1.4729427703278404,36.01034476048058,-3.93798247086508,-2.3175753357309166,-1.6204071351341636,3,2,1,0,0.0
2020-02-07,129.11,130.98,131.99,128.5,2780000.0,-1.32,-1.3222256190767272,-1.5870628055659912,0.5977602905568947,-4.218002609073774,-0.7025262560317774,-1.5846169325953323,1.7177638606464478,-1.010129394803475,1.4718168504492013,33.61924569505942,-4.406746125249271,-2.7354094936345876,-1.671336631614683,4,2,1,0,0.0
2020-02-10,125.94,129.3,129.4,125.5,1690000.0,-2.46,-2.4552706994036213,-1.3222256190767272,-1.5870628055659912,0.5977602905568947,-1.3935539198170634,-1.7969602885126439,1.7534918823996863,-1.3017941788298208,1.4363774656616817,29.724471574712666,-4.976669260447721,-3.1836614469972147,-1.7930078134505067,0,2,1,0,0.0
2020-02-11,127.82,125.35,129.48,125.35,1440000.0,1.49,1.4927743369858626,-2.4552706994036213,-1.3222256190767272,-1.5870628055659912,-4.218002609073774,-0.6548048993007167,1.638387045945868,-0.9535048461680438,1.6563477079509323,34.56598510038761,-5.216504545740548,-3.5902300667458817,-1.6262744789946666,1,2,1,1,0.0
2020-02-12,131.48,129.3,132.51,129.0,2900000.0,2.86,2.863401658582379,1.4927743369858626,-2.4552706994036213,-1.3222256190767272,0.5977602905568947,-0.2016766256956198,2.2649216386378477,-0.6117866185419676,2.0529835173596642,42.82438308496234,-5.052996526574077,-3.882783358711521,-1.1702131678625562,2,2,1,1,0.0
2020-02-13,130.49,132.8,132.8,130.01,653800.0,-0.75,-0.7529662306054006,2.863401658582379,1.4927743369858626,-2.4552706994036213,-1.5870628055659912,-0.03485731070350169,2.165927172050885,-0.7477671853449219,2.0078359543453317,41.30578815460444,-4.946282306126562,-4.095483148194529,-0.8507991579320331,3,2,1,0,0.0
2020-02-14,129.54,131.15,132.89,128.3,703000.0,-0.73,-0.7280251360257621,-0.7529662306054006,2.863401658582379,1.4927743369858626,-1.3222256190767272,0.08398278590669132,2.0926963282067486,-0.7503170733443204,2.007788306780334,39.845614678517194,-4.882089884908424,-4.252804495537308,-0.6292853893711161,4,2,1,0,0.0
2020-02-17,128.5,130.39,130.5,128.01,514200.00000000006,-0.8,-0.8028408213679111,-0.7280251360257621,-0.7529662306054006,2.863401658582379,-2.4552706994036213,0.41446876151383333,1.6815212335675378,-0.6912457634994051,1.9954124015565995,38.25144055757299,-4.859123288399502,-4.374068254109747,-0.48505503428975505,0,2,1,0,0.0
2020-02-18,131.14,129.25,132.49,128.25,2380000.0,2.05,2.054474708171196,-0.8028408213679111,-0.7280251360257621,-0.7529662306054006,1.4927743369858626,0.5268088357509,1.7870247455850656,-0.06399803177490818,1.732102311636321,44.33923103175597,-4.575156601238405,-4.414285923535479,-0.16087067770292585,1,2,1,1,0.0
2020-02-19,134.83,132.0,136.45,131.99,4500000.0,2.81,2.813786792740603,2.054474708171196,-0.8028408213679111,-0.7280251360257621,2.863401658582379,0.5168858625825448,1.7708712258659713,0.15760461844346266,1.9537499508774088,51.53198525260442,-4.0061780674086265,-4.3326643523101085,0.326486284901482,2,2,1,1,0.0
2020-02-20,133.6,135.15,135.75,133.2,1090000.0,-0.91,-0.9122598828154104,2.813786792740603,2.054474708171196,-0.8028408213679111,-0.7529662306054006,0.4850271321405429,1.800610863282832,0.22508491071852074,1.8976435553127502,49.24747347069986,-3.6128623720444466,-4.188703956256976,0.5758415842125295,3,2,1,0,0.0
2020-02-21,131.39,133.5,133.92,130.61,864700.0,-1.65,-1.654191616766473,-0.9122598828154104,2.813786792740603,2.054474708171196,-0.7280251360257621,0.29979383599240067,1.9938657241807267,0.19188831094954617,1.9303410699194163,45.35675051894009,-3.439833124997932,-4.0389297900051675,0.5990966650072354,4,2,1,0,0.0
2020-02-24,127.16,130.98,130.98,126.5,2310000.0,-3.22,-3.2194230915594724,-1.654191616766473,-0.9122598828154104,2.813786792740603,-0.8028408213679111,-0.18352261804591158,2.5447550336960556,0.11547307173396101,2.057699675390218,39.00492479280068,-3.602504420046955,-3.9516447160135253,0.34914029596657015,0,2,1,0,0.0
2020-02-25,124.7,126.67,128.25,123.49,2960000.0,-1.93,-1.9345706196917216,-3.2194230915594724,-1.654191616766473,-0.9122598828154104,2.054474708171196,-0.9813316836184951,2.279152982603928,-0.22726142393379734,2.0880134791814946,35.85975975243231,-3.885138575198795,-3.938343487850579,0.0532049126517844,1,2,1,0,0.0
2020-02-26,123.75,125.0,125.5,122.12,2490000.0,-0.76,-0.7618283881315179,-1.9345706196917216,-3.2194230915594724,-1.654191616766473,2.813786792740603,-1.6964547197929192,0.9831589311042664,-0.589784428605187,1.7844244905918527,34.69622488968494,-4.138083983648812,-3.9782915870102262,-0.1597923966385859,2,2,1,0,0.0
2020-02-27,120.49,121.0,121.74,116.5,4000000.0,-2.63,-2.6343434343434384,-0.7618283881315179,-1.9345706196917216,-3.2194230915594724,-0.9122598828154104,-2.040871430098525,0.9404739871589621,-0.7779221489789908,1.8990398764984948,30.98129768734175,-4.549159913532463,-4.092465252314674,-0.45669466121778957,3,2,1,0,0.0
2020-02-28,117.62,118.0,121.0,117.0,5500000.0,-2.38,-2.3819404099925228,-2.6343434343434384,-0.7618283881315179,-1.9345706196917216,-1.654191616766473,-2.1864211887437346,0.9217982957092254,-0.9433136763756668,1.9650844869934256,28.12615731433884,-5.048331540495099,-4.283638509950759,-0.7646930305443398,4,2,1,0,0.0
2020-03-02,124.49,119.65,125.35,119.65,6450000.0,5.84,5.840843393980607,-2.3819404099925228,-2.6343434343434384,-0.7618283881315179,-3.2194230915594724,-0.37436789163571904,3.5479235611808644,-0.27894525484081517,2.912524943262648,41.92330409915731,-4.8338553902180195,-4.393681886004211,-0.4401735042138082,0,3,1,1,1.0
2020-03-03,125.76,126.5,128.8,125.01,3600000.0,1.02,1.0201622620290869,5.840843393980607,-2.3819404099925228,-2.6343434343434384,-1.9345706196917216,0.2165786847084427,3.4682646561469253,-0.382376499455026,2.8378604088120154,44.06108942342609,-4.509421307918657,-4.416829770387101,-0.09259153753155669,1,3,1,1,0.0
2020-03-04,122.71,125.94,125.94,122.5,1240000.0,-2.43,-2.4252544529262177,1.0201622620290869,5.840843393980607,-2.3819404099925228,-0.7618283881315179,-0.1161065282504973,3.660056132514413,-0.9062806240217081,2.660288215884059,40.23104101519091,-4.447150487793337,-4.422893913868348,-0.0242565739249887,2,3,1,0,0.0
2020-03-05,123.76,123.15,126.4,123.06,4560000.0,0.86,0.855675984027391,-2.4252544529262177,1.0201622620290869,5.840843393980607,-2.6343434343434384,0.5818973554236686,3.381968383961659,-0.7294870373374278,2.7179668900429874,42.09709218766643,-4.263922346808599,-4.391099600456399,0.1271772536478002,3,3,1,1,0.0
2020-03-06,115.67,121.5,122.0,115.3,5400000.0,-6.54,-6.536845507433746,0.855675984027391,-2.4252544529262177,1.0201622620290869,-2.3819404099925228,-0.24908366406457602,4.587765223245749,-1.217752426404155,3.282485492524548,33.43547064001855,-4.7171319531959455,-4.456306071004308,-0.2608258821916376,4,3,1,0,0.0
2020-03-09,107.58,107.58,107.58,107.58,289100.0,-6.99,-6.994034754041673,-6.536845507433746,0.855675984027391,-2.4252544529262177,5.840843393980607,-2.8160592936690323,3.8616930611277507,-1.5952135926523752,3.7253841238825682,27.370662133003577,-5.663810340500035,-4.697806924903453,-0.9660034155965818,0,3,1,0,0.0
2020-03-10,105.05,101.0,105.84,101.0,15540000.0,-2.35,-2.3517382413087944,-6.994034754041673,-6.536845507433746,0.855675984027391,1.0201622620290869,-3.490439394336609,3.2739788029181267,-1.6369303548140828,3.731936424730282,25.79486743363819,-6.542788446330874,-5.066803229188938,-1.475985217141936,1,3,1,0,0.0
2020-03-11,105.39,108.4,111.72,104.61,6560000.0,0.32,0.3236554021894369,-2.3517382413087944,-6.994034754041673,-6.536845507433746,-2.4252544529262177,-2.9406574233134775,3.7005792751607833,-1.528381975781987,3.775747326418767,26.4080470914744,-7.1297623076361845,-5.4793950448783875,-1.650367262757797,2,3,1,1,0.0
2020-03-12,100.16,101.5,103.4,99.0,4300000.0,-4.96,-4.962520163203344,0.3236554021894369,-2.3517382413087944,-6.994034754041673,0.855675984027391,-4.104296652759624,3.069309702715358,-1.7611996486679775,3.920523271637034,23.228389539107994,-7.925599238201457,-5.968635883543001,-1.9569633546584555,3,3,1,0,0.0
2020-03-13,104.18,98.0,105.2,96.2,4990000.0,4.01,4.013578274760394,-4.962520163203344,0.3236554021894369,-2.3517382413087944,-6.536845507433746,-1.9942118963207964,4.3417438667093995,-1.1216477801926859,4.310284852129478,30.186517532267416,-8.138114220972525,-6.402531551028907,-1.7355826699436188,4,3,1,1,0.0
2020-03-16,96.37,101.0,101.98,96.37,6130000.0,-7.5,-7.496640430024959,4.013578274760394,-4.962520163203344,0.3236554021894369,-6.994034754041673,-2.0947330315174537,4.489736291901291,-2.4553961625932423,3.9662800934584794,25.37476340094406,-8.834892464215145,-6.889003733666154,-1.9458887305489903,0,3,1,0,0.0
2020-03-17,93.48,97.0,99.0,92.51,3110000.0,-3.0,-2.9988585659437588,-7.496640430024959,4.013578274760394,-4.962520163203344,-2.3517382413087944,-2.224157096444446,4.508285878371425,-2.8572982453905267,3.7739309332019872,23.85918794051561,-9.510660119585097,-7.413335010849943,-2.097325108735154,1,3,1,0,0.0
2020-03-18,86.47,90.1,90.79,86.47,2500000.0,-7.5,-7.498930252460425,-2.9988585659437588,-7.496640430024959,4.013578274760394,0.3236554021894369,-3.788674227374419,4.7537322258110475,-3.3646658253439474,4.040996294036908,20.639077906275816,-10.490926400919562,-8.028853288863868,-2.4620731120556947,2,3,1,0,0.0
2020-03-19,85.41,79.99,87.5,79.99,6730000.0,-1.23,-1.2258586793107462,-7.498930252460425,-2.9988585659437588,-7.496640430024959,-4.962520163203344,-3.0413419305958995,4.8163643379148375,-3.5728192916777615,3.8484743268571506,20.195227787152675,-11.22394498144179,-8.667871627379453,-2.5560733540623364,3,3,1,0,0.0
2020-03-20,91.81,90.0,91.81,86.15,5260000.0,7.49,7.493267767240377,-1.2258586793107462,-7.498930252460425,-2.9988585659437588,4.013578274760394,-2.345404032099902,6.1557679523179285,-2.169807964210349,5.025327135157532,29.985461768463907,-11.15979777266071,-9.166256856435705,-1.9935409162250046,4,3,1,1,0.0
2020-03-24,85.25,86.11,94.22,84.93,5870000.0,-7.15,-7.145191155647536,7.493267767240377,-1.2258586793107462,-7.498930252460425,-7.496640430024959,-2.275114177224418,6.083829653612754,-2.1849236043709355,5.041651011483025,26.409209403868672,-11.505667648713597,-9.634139014891284,-1.8715286338223134,1,3,1,0,0.0
2020-03-25,81.33,89.5,89.5,80.01,4020000.0,-4.6,-4.598240469208213,-7.145191155647536,7.493267767240377,-1.2258586793107462,-2.9988585659437588,-2.594990557877309,6.172791879500661,-2.4095738271608775,5.099627418147612,24.52675518134795,-11.9582361538979,-10.098958442692608,-1.8592777112052925,2,3,1,0,0.0
2020-03-26,79.06,81.5,82.7,78.4,8000000.0,-2.79,-2.791097995819496,-4.598240469208213,-7.145191155647536,7.493267767240377,-7.498930252460425,-1.653424106549123,5.5671028156100135,-2.7210491669617705,5.008444513833731,23.482888551956123,-12.357619043670226,-10.550690562888132,-1.8069284807820942,3,3,1,0,0.0
2020-03-27,78.26,78.98,79.5,76.51,5360000.0,-1.01,-1.011889704022258,-2.791097995819496,-4.598240469208213,-7.145191155647536,-1.2258586793107462,-1.6106303114914255,5.572031332666537,-2.325986121043662,4.967638985067066,23.109598740930693,-12.59351596250987,-10.95925564281248,-1.6342603196973897,4,3,1,0,0.0
2020-03-30,75.01,76.0,76.0,73.25,5710000.0,-4.15,-4.15282392026578,-1.011889704022258,-2.791097995819496,-4.598240469208213,7.493267767240377,-3.939848648992657,2.271873152635677,-3.14262634054628,4.454400831495507,21.60692194743099,-12.894078893651908,-11.346220292980366,-1.5478586006715425,0,3,1,0,0.0
2020-03-31,76.99,76.0,79.79,75.0,12720000.0,2.64,2.6396480469270625,-4.15282392026578,-1.011889704022258,-2.791097995819496,-7.145191155647536,-1.9828808084777372,2.9373700409238896,-2.1289974928510773,4.506513864526216,24.814475536231697,-12.824672883650365,-11.641910811114366,-1.1827620725359989,1,3,1,1,0.0
2020-04-01,76.3,76.0,77.5,75.3,9330000.0,-0.9,-0.8962202883491333,2.6396480469270625,-4.15282392026578,-1.011889704022258,-4.598240469208213,-1.2424767723059214,2.5550100428570337,-1.9187336650916147,4.510469025590726,24.439198707309757,-12.67918757229701,-11.849366163350895,-0.8298214089461151,2,4,2,0,0.0
2020-04-02,82.02,77.53,82.02,77.0,8750000.0,7.5,7.496723460026211,-0.8962202883491333,2.6396480469270625,-4.15282392026578,-2.791097995819496,0.8150875188632201,4.441842079076165,-0.4191682938429512,4.923010070318184,33.42741822856267,-11.964414891637873,-11.87237590900829,-0.09203898262958177,3,4,2,1,1.0
2020-04-03,88.17,88.17,88.17,86.67,5800000.0,7.5,7.498171177761528,7.496723460026211,-0.8962202883491333,2.6396480469270625,-1.011889704022258,2.517099695219977,5.142017561190465,0.45323469186427623,5.50299815866062,41.48668594357403,-10.777462906601357,-11.653393308526905,0.8759304019255474,4,4,2,1,1.0
